Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
55f0372c-ee1f-45b8-9479-fb161ad6e120,SNOMED-CT:119297000,CONCEPT-SET,1,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,CIEL:159994,CONCEPT-SET,2,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,CIEL:1001,CONCEPT-SET,3,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,CIEL:1004,CONCEPT-SET,4,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,CIEL:1002,CONCEPT-SET,5,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,CIEL:163368,CONCEPT-SET,6,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,CIEL:159995,CONCEPT-SET,7,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,CIEL:159993,CONCEPT-SET,8,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,CIEL:160013,CONCEPT-SET,9,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,SNOMED-CT:119323008,CONCEPT-SET,10,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,CIEL:163370,CONCEPT-SET,11,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,SNMOED-CT:119373006,CONCEPT-SET,12,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,4a716a48-08db-4ecb-b1ae-5b528f369d88,CONCEPT-SET,13,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,CIEL:163350,CONCEPT-SET,14,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,SNOMED-CT:119376003,CONCEPT-SET,15,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,CIEL:163364,CONCEPT-SET,16,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,SNOMED-CT:258520000,CONCEPT-SET,17,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,SNMOED-CT:258524009,CONCEPT-SET,18,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,SNOMED-CT:119325001,CONCEPT-SET,19,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,SNOMED-CT:119349003,CONCEPT-SET,20,,
55f0372c-ee1f-45b8-9479-fb161ad6e120,CIEL:5622,CONCEPT-SET,21,,
